DOI,Title
https://doi.org/10.1109/FIE61694.2024.10893106,"Empowering Secondary School Teachers: Creating, Executing, and Evaluating a Transformative Professional Development Course on ChatGPT"
https://doi.org/10.1109/FIE61694.2024.10893096,Using Chat-GPT to Create Multiple Choice CS Exams
https://doi.org/10.1109/EDUCON60312.2024.10578933,Leveraging GenAI for an Intelligent Tutoring System for R: A Quantitative Evaluation of Large Language Models
https://doi.org/10.1109/TLT.2024.3396735,Toward an AI Knowledge Assistant for Context-Aware Learning Experiences in Software Capstone Project Development
https://doi.org/10.1145/3639474.3640052,"LLMs Still Can't Avoid Instanceof: An Investigation Into GPT-3.5, GPT-4 and Bard's Capacity to Handle Object-Oriented Programming Assignments"
https://doi.org/10.1109/ISEC61299.2024.10664775,Using Prompt Engineering to Enhance STEM Education
https://doi.org/10.1109/TALE62452.2024.10834365,Tailoring Your Code Companion: Leveraging LLMs and RAG to Develop a Chatbot to Support Students in a Programming Course
https://doi.org/10.1109/FIE61694.2024.10893528,"WIP: Beyond Code: Evaluating ChatGPT, Gemini, Claude, and Meta AI as AI Tutors in Computer Science and Engineering Education"
https://doi.org/10.1109/DeSE63988.2024.10911947,The Development of Individualized Assignment Generator
https://doi.org/10.1109/FLLM63129.2024.10852497,Can Large Language Model Detect Plagiarism in Source Code?
https://doi.org/10.1109/REEPE60449.2024.10479881,ChatGPT and Unified State Exam in Computer Science
https://doi.org/10.1109/FIE61694.2024.10892934,Using ChatGPT in Undergraduate Computer Science and Software Engineering Courses: A Students' Perspective
https://doi.org/10.1109/SNPD61259.2024.10673924,College Exam Grader using LLM AI models
https://doi.org/10.1109/UEMCON62879.2024.10754661,Development and Evaluation of an AI-Enhanced Python Programming Education System
https://doi.org/10.1109/EDUNINE62377.2025.10981398,DS Generative AI for Supporting Teaching Activities
https://doi.org/10.1109/ICCT62411.2024.10946635,Large Language Models Based Communication Simulation Platform
https://doi.org/10.1109/FIE61694.2024.10892822,Integrating Generative AI with Data Structures and Algorithm Analysis Course Homework
https://doi.org/10.1109/EDUCON62633.2025.11016406,Scaffold or Crutch? Examining College Students' Use and Views of Generative AI Tools for STEM Education
https://doi.org/10.1109/CSEET62301.2024.10662984,Automated Programming Exercise Generation in the Era of Large Language Models
https://doi.org/10.1109/EDUCON60312.2024.10578839,Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses
https://doi.org/10.1109/ACCESS.2025.3545882,Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning
https://doi.org/10.1109/CSEET58097.2023.00031,Recommendations to Create Programming Exercises to Overcome ChatGPT
https://doi.org/10.1109/SEENG59157.2023.00010,“We Need To Talk About ChatGPT”: The Future of AI and Higher Education
https://doi.org/10.1109/FIE61694.2024.10892956,Work in Progress: Integration of AI Tools on an Open-Ended Computer Programming Project
,Tackling Students’ Coding Assignments with LLMs
https://doi.org/10.1109/TLT.2025.3570775,Annotation Guideline-Based Knowledge Augmentation: Towards Enhancing Large Language Models for Educational Text Classification
https://doi.org/10.1109/RAMS51492.2024.10457630,The Use and Misuse of Pre-Trained Generative Large Language Models in Reliability Engineering
https://doi.org/10.1109/EDUCON60312.2024.10578934,Towards Assessing the Credibility of Chatbot Responses for Technical Assessments in Higher Education
https://doi.org/10.1109/FIE58773.2023.10343171,An Ontology and Management System for Learning Outcomes and Student Mastery
https://doi.org/10.1109/CSICC65765.2025.10967440,Analyzing the Mathematical Proficiency of Large Language Models in Computer Science Graduate Admission Tests
https://doi.org/10.1109/FIE61694.2024.10893343,Enhancing User Story Generation in Agile Software Development Through Open AI and Prompt Engineering
https://doi.org/10.1109/DEMOcon63027.2024.10748200,"Novelty, Rigidity, and Complexity: Toward Developing AI-Resistant Assessments in an Introductory Computer Science Class"
https://doi.org/10.1109/ICALT58122.2023.00072,AI-Assisted Learning with ChatGPT and Large Language Models: Implications for Higher Education
https://doi.org/10.1109/TE.2024.3435427,Q-Module-Bot: A Generative AI-Based Question and Answer Bot for Module Teaching Support
https://doi.org/10.1109/FIE61694.2024.10893452,A Data Science Course Utilizing GenAI
https://doi.org/10.1109/EDUCON62633.2025.11016399,Mapping of Educational Course Descriptions to ESCO Competences Using Large Language Models
https://doi.org/10.1109/FIE61694.2024.10892816,Exploring the Potential of Locally Run Large Language (AI) Models for Automated Grading in Introductory Computer Science Courses
https://doi.org/10.1109/ITHET61869.2024.10837624,Case Study: Using Artificial Intelligence as a Tutor for a Programming Course
https://doi.org/10.1109/EDUCON62633.2025.11016293,Strategies to Map Education 5.0 and Industry 5.0 in the Context of a Modernized Undergraduate Program in Chemical Engineering
,Let's ask AI About Their Programs: Exploring ChatGPT's Answers to Program Comprehension Questions
https://doi.org/10.1109/FIE58773.2023.10342898,Generating Multiple Choice Questions for Computing Courses Using Large Language Models
https://doi.org/10.1109/FIE58773.2023.10343296,The potential role of AI-based Chatbots in Engineering Education. Experiences from a teaching perspective
https://doi.org/10.1109/TLT.2025.3564177,Is ChatGPT a Competent Teacher? Systematic Evaluation of Large Language Models on the Competency Model
https://doi.org/10.1109/CSEET62301.2024.10663001,Leveraging Lecture Content for Improved Feedback: Explorations with GPT-4 and Retrieval Augmented Generation
https://doi.org/10.1109/EDUCON62633.2025.11016495,How to Automate Feedback on Diagrammatic Reasoning with a Relevant Degree of Freedom?
https://doi.org/10.1109/CSEET62301.2024.10663045,Towards Integrating Emerging AI Applications in SE Education
https://doi.org/10.1109/AAIAC60008.2023.10465292,Final Results: Prof Pi and GPT-4 Tutoring Mathematics in Arabic through Whatsapp
