DOI,Title,Predicted_Course
10.1145/3649409.3691094,CourseAssist: Pedagogically Appropriate AI Tutor for Computer Science Education,Educational Technology in Computer Science
10.1145/3626252.3630789,Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science,Introductory Programming
10.1145/3649217.3653554,Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?,Introductory Programming
10.1145/3688089,"Ethics, Governance, and User Mental Models for Large Language Models in Computing Education",Human-Computer Interaction
10.1145/3626253.3633409,Generative AI in Computer Science Education,Computer Science Education
10.1145/3626252.3630927,Software Engineering Education Must Adapt and Evolve for an LLM Environment,Software Engineering
10.1145/3657604.3664660,Comparing Feedback from Large Language Models and Instructors: Teaching Computer Science at Scale,Algorithms and Data Structures
10.1145/3626253.3633431,Ninth SPLICE Workshop on Technology and Data Infrastructure for CS Education Research,Computing Education Research
10.1145/3649409.3691074,Ethical Implications of Gen-AI and LLMs in Computing Education,Ethics in Computing Education
10.1145/3639474.3640061,AI-Tutoring in Software Engineering Education,Software Engineering
10.1145/3626253.3631657,AI in Computing Education from Research to Practice,Artificial Intelligence in Education
10.1145/3626253.3635369,Discussing the Changing Landscape of Generative AI in Computing Education,Computing Education
10.1145/3649217.3653543,Iris: An AI-Driven Virtual Tutor for Computer Science Education,Introductory Programming
10.1145/3626252.3630803,ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,Educational Technology in Computer Science
10.1145/3660650.3660657,Generative AI in CS Education: Literature Review through a SWOT Lens,Computer Science Education
10.1145/3649217.3653570,Customizing ChatGPT to Help Computer Science Principles Students Learn Through Conversation,Educational Technology
10.1145/3636243.3636257,"“It's not like Jarvis, but it's pretty close!” - Examining ChatGPT's Usage among Undergraduate Students in Computer Science",Human-Computer Interaction
10.1145/3660650.3660668,Experience Report: Adopting AI-Usage Policy in Software Engineering Education,Software Engineering
10.1145/3587102.3588815,How ChatGPT Will Change Software Engineering Education,Software Engineering
10.1145/3623762.3633499,The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,Computing Education
10.1145/3643795.3648379,An Empirical Study on Usage and Perceptions of LLMs in a Software Engineering Project,Software Engineering
10.1145/3674149,Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam,Artificial Intelligence
10.1145/3686852.3686864,Faculty Perspectives on the Potential of RAG in Computer Science Higher Education,Educational Technology in Computer Science
10.1145/3649217.3653575,Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023,Computing Education
10.1145/3587102.3588773,Chat Overflow: Artificially Intelligent Models for Computing Education - renAIssance or apocAIypse?,Computing Education
10.1145/3568812.3603453,Prompt Engineering for Large Language Models to Support K-8 Computer Science Teachers in Creating Culturally Responsive Projects,Educational Technology in Computer Science
10.1145/3626253.3635511,My Learnings from Allowing Large Language Models in Introductory Computer Science Classes,Introductory Programming
10.1145/3677619.3678092,Differentiated Tasks by ChatGPT for Secondary Computer Science Education: Useful or not?,Educational Technology
10.1145/3605468.3605471,AI Education in German K-10 Computer Science Curricula,AI Education
10.1145/3649409.3691090,From GPT to BERT: Benchmarking Large Language Models for Automated Quiz Generation,Natural Language Processing
10.1145/3661167.3661269,The Role of Software Measurement in Assured LLM-Based Software Engineering,Software Engineering
10.1145/3663530.3665020,A Pilot Study in Surveying Data Challenges of Automatic Software Engineering Tasks,Software Engineering
10.1145/3626253.3635427,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,Introductory Programming
10.1145/3626252.3630938,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,Computer Science Education
10.1145/3660788,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,Software Engineering
10.1145/3597503.3639201,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,Software Engineering
10.1145/3624720,Computing Education in the Era of Generative AI,Computing Education
