DOI,Title,Category,Description
10.1145/3649409.3691094,CourseAssist: Pedagogically Appropriate AI Tutor for Computer Science Education,Artificial Intelligence in Education,"The paper introduces CourseAssist, an AI-based tutoring system designed specifically for computer science education, which leverages retrieval-augmented generation, user intent classification, and question decomposition to provide pedagogically appropriate responses aligned with course materials. The system was evaluated against GPT-4, showing improved usefulness, accuracy, and pedagogical appropriateness, and has been deployed in multiple courses, enhancing the accessibility and effectiveness of tutoring for over 500 students."
10.1145/3688089,"Ethics, Governance, and User Mental Models for Large Language Models in Computing Education",Human-Computer Interaction,"The paper explores the ethical considerations, governance frameworks, and user mental models associated with the integration of large language models in computing education, aiming to inform policy development to enhance learning outcomes."
10.1145/3626253.3633409,Generative AI in Computer Science Education,Computer Science Education,"The paper explores the integration of generative AI tools in computer science education, focusing on lesson design, code development, test design, and assessment. It addresses both student and educator perspectives, aiming to equip participants with the skills to effectively incorporate generative AI into educational practices, thereby enhancing teaching methodologies and learning experiences."
10.1145/3626253.3631657,AI in Computing Education from Research to Practice,Artificial Intelligence in Education,"The paper discusses a panel of computing educators exploring the integration of AI into computing education, focusing on AI applications in introductory courses, opportunities with large language models (LLMs), development of LLM-based tools, and the incorporation of ethics and inclusion in AI curricula, thereby highlighting experiences, opportunities, and challenges in AI education."
10.1145/3626253.3635369,Discussing the Changing Landscape of Generative AI in Computing Education,Computing Education,"The paper explores the evolving role of generative AI in computing education, addressing challenges such as academic integrity, curriculum changes, and pedagogical strategies. It aims to foster collaborative discussions among educators and researchers to develop strategies for integrating AI responsibly into educational practices."
10.1145/3660650.3660657,Generative AI in CS Education: Literature Review through a SWOT Lens,Artificial Intelligence in Education,"The paper conducts a SWOT analysis of existing literature on the use of generative AI in computer science education, identifying strengths, weaknesses, opportunities, and threats. It provides use cases and guidelines to help integrate AI tools like ChatGPT into educational settings, highlighting both potential benefits and challenges."
10.1145/3636243.3636257,"“It's not like Jarvis, but it's pretty close!” - Examining ChatGPT's Usage among Undergraduate Students in Computer Science",Human-Computer Interaction,"This paper investigates the usage of ChatGPT by undergraduate computer science students, employing surveys and interviews to understand its benefits, challenges, and potential improvements. The study reveals a generally positive student perception of ChatGPT as a coursework aid, while also identifying challenges that need addressing for its sustained acceptance in educational contexts."
10.1145/3623762.3633499,The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,Computing Education,"This paper explores the impact of generative AI, particularly large language models, on computing education by reviewing literature, surveying global attitudes, interviewing educators, discussing ethical considerations, and benchmarking AI tools. It aims to guide educators and policymakers in adapting pedagogy to leverage AI advancements for more effective and inclusive learning experiences."
10.1145/3674149,Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam,Artificial Intelligence,"The paper evaluates the performance of ChatGPT-4 Vision, a multimodal large language model, on Brazil's 2021 National Undergraduate Computer Science Exam, demonstrating its ability to outperform average human participants and highlighting its potential as a tool for question testing and refinement. The study also identifies challenges in question interpretation and logical reasoning, emphasizing the need for human oversight and improved question design in educational assessments."
10.1145/3649217.3653575,Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023,Human-Computer Interaction,"The paper explores the early adoption and perceptions of Generative Artificial Intelligence (GenAI) among computer science students at a small engineering-focused university. It provides a qualitative analysis of student attitudes, usage patterns, and concerns, offering insights into the implications of GenAI on computing education, pedagogy, and policy development."
10.1145/3568812.3603453,Prompt Engineering for Large Language Models to Support K-8 Computer Science Teachers in Creating Culturally Responsive Projects,Artificial Intelligence,The paper explores the use of large language models to assist K-8 computer science teachers in creating culturally responsive programming projects. It contributes by developing a framework for assessing AI-generated project ideas and providing insights into teachers' perspectives on integrating these models into educational practices.
10.1145/3677619.3678092,Differentiated Tasks by ChatGPT for Secondary Computer Science Education: Useful or not?,Artificial Intelligence in Education,"The paper explores the use of ChatGPT-4 to create differentiated tasks for secondary computer science education, developing a tool that utilizes didactical parameters to tailor these tasks. Preliminary findings suggest that teachers find the tool beneficial, indicating potential for enhancing K-12 education with AI-driven task differentiation."
10.1145/3605468.3605471,AI Education in German K-10 Computer Science Curricula,Computer Science Education,"This paper analyzes the inclusion of artificial intelligence (AI) content in K-10 computer science curricula across Germany's 16 federal states, revealing inconsistencies and a lack of standardized AI competencies. It advocates for the integration of mandatory AI education that encompasses technological, socio-cultural, and user-oriented perspectives to ensure comprehensive and up-to-date learning."
10.1145/3660788,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,Software Engineering,"The paper conducts an observational study of 24 professional software engineers using ChatGPT in their work, revealing that engineers primarily use the tool for guidance and learning rather than direct code generation. It introduces a theoretical framework that considers interaction purpose, user personality, and external factors to understand the perceived usefulness and trust in LLMs, aiming to guide future research and design in this area."
