DOI,Title,Predicted_Course
10.1109/FIE61694.2024.10893106,"Empowering Secondary School Teachers: Creating, Executing, and Evaluating a Transformative Professional Development Course on ChatGPT",Educational Technology
10.1109/FIE61694.2024.10893096,Using Chat-GPT to Create Multiple Choice CS Exams,Educational Technology in Computer Science
10.1109/EDUCON60312.2024.10578933,Leveraging GenAI for an Intelligent Tutoring System for R: A Quantitative Evaluation of Large Language Models,Introductory Programming
10.1109/TLT.2024.3396735,Toward an AI Knowledge Assistant for Context-Aware Learning Experiences in Software Capstone Project Development,Software Engineering
10.1145/3639474.3640052,"LLMs Still Can't Avoid Instanceof: An Investigation Into GPT-3.5, GPT-4 and Bard's Capacity to Handle Object-Oriented Programming Assignments",Object-oriented Programming
10.1109/ISEC61299.2024.10664775,Using Prompt Engineering to Enhance STEM Education,Educational Technology
10.1109/TALE62452.2024.10834365,Tailoring Your Code Companion: Leveraging LLMs and RAG to Develop a Chatbot to Support Students in a Programming Course,Object-oriented Programming
10.1109/FIE61694.2024.10893528,"WIP: Beyond Code: Evaluating ChatGPT, Gemini, Claude, and Meta AI as AI Tutors in Computer Science and Engineering Education",Computer Science Education
10.1109/DeSE63988.2024.10911947,The Development of Individualized Assignment Generator,Educational Technology
10.1109/FLLM63129.2024.10852497,Can Large Language Model Detect Plagiarism in Source Code?,Software Engineering
10.1109/REEPE60449.2024.10479881,ChatGPT and Unified State Exam in Computer Science,Artificial Intelligence
10.1109/FIE61694.2024.10892934,Using ChatGPT in Undergraduate Computer Science and Software Engineering Courses: A Students' Perspective,Software Engineering
10.1109/SNPD61259.2024.10673924,College Exam Grader using LLM AI models,Artificial Intelligence
10.1109/UEMCON62879.2024.10754661,Development and Evaluation of an AI-Enhanced Python Programming Education System,Introductory Programming
10.1109/EDUNINE62377.2025.10981398,DS Generative AI for Supporting Teaching Activities,Educational Technology
10.1109/ICCT62411.2024.10946635,Large Language Models Based Communication Simulation Platform,Computer Networks
10.1109/FIE61694.2024.10892822,Integrating Generative AI with Data Structures and Algorithm Analysis Course Homework,Algorithms and Data Structures
10.1109/EDUCON62633.2025.11016406,Scaffold or Crutch? Examining College Students' Use and Views of Generative AI Tools for STEM Education,Educational Technology in STEM
10.1109/CSEET62301.2024.10662984,Automated Programming Exercise Generation in the Era of Large Language Models,Software Engineering
10.1109/EDUCON60312.2024.10578839,Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses,Software Engineering
10.1109/ACCESS.2025.3545882,Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning,Software Testing
10.1109/CSEET58097.2023.00031,Recommendations to Create Programming Exercises to Overcome ChatGPT,Introductory Programming
10.1109/SEENG59157.2023.00010,“We Need To Talk About ChatGPT”: The Future of AI and Higher Education,Software Engineering
10.1109/FIE61694.2024.10892956,Work in Progress: Integration of AI Tools on an Open-Ended Computer Programming Project,Introductory Programming
10.1109/TLT.2025.3570775,Annotation Guideline-Based Knowledge Augmentation: Towards Enhancing Large Language Models for Educational Text Classification,Natural Language Processing (NLP)
10.1109/RAMS51492.2024.10457630,The Use and Misuse of Pre-Trained Generative Large Language Models in Reliability Engineering,Artificial Intelligence
10.1109/EDUCON60312.2024.10578934,Towards Assessing the Credibility of Chatbot Responses for Technical Assessments in Higher Education,Educational Technology in Computer Science
10.1109/FIE58773.2023.10343171,An Ontology and Management System for Learning Outcomes and Student Mastery,Educational Technology
10.1109/CSICC65765.2025.10967440,Analyzing the Mathematical Proficiency of Large Language Models in Computer Science Graduate Admission Tests,Artificial Intelligence
10.1109/FIE61694.2024.10893343,Enhancing User Story Generation in Agile Software Development Through Open AI and Prompt Engineering,Software Engineering
10.1109/DEMOcon63027.2024.10748200,"Novelty, Rigidity, and Complexity: Toward Developing AI-Resistant Assessments in an Introductory Computer Science Class",Introductory Programming
10.1109/ICALT58122.2023.00072,AI-Assisted Learning with ChatGPT and Large Language Models: Implications for Higher Education,Educational Technology
10.1109/TE.2024.3435427,Q-Module-Bot: A Generative AI-Based Question and Answer Bot for Module Teaching Support,Artificial Intelligence
10.1109/FIE61694.2024.10893452,A Data Science Course Utilizing GenAI,Data Science
10.1109/EDUCON62633.2025.11016399,Mapping of Educational Course Descriptions to ESCO Competences Using Large Language Models,Natural Language Processing
10.1109/FIE61694.2024.10892816,Exploring the Potential of Locally Run Large Language (AI) Models for Automated Grading in Introductory Computer Science Courses,Introductory Programming
10.1109/ITHET61869.2024.10837624,Case Study: Using Artificial Intelligence as a Tutor for a Programming Course,Introductory Programming
10.1109/EDUCON62633.2025.11016293,Strategies to Map Education 5.0 and Industry 5.0 in the Context of a Modernized Undergraduate Program in Chemical Engineering,Educational Technology in Engineering
10.1109/FIE58773.2023.10342898,Generating Multiple Choice Questions for Computing Courses Using Large Language Models,Computing Education
10.1109/FIE58773.2023.10343296,The potential role of AI-based Chatbots in Engineering Education. Experiences from a teaching perspective,Educational Technology in Computer Science
10.1109/TLT.2025.3564177,Is ChatGPT a Competent Teacher? Systematic Evaluation of Large Language Models on the Competency Model,Artificial Intelligence in Education
10.1109/CSEET62301.2024.10663001,Leveraging Lecture Content for Improved Feedback: Explorations with GPT-4 and Retrieval Augmented Generation,Introductory Programming
10.1109/EDUCON62633.2025.11016495,How to Automate Feedback on Diagrammatic Reasoning with a Relevant Degree of Freedom?,Introductory Programming
10.1109/CSEET62301.2024.10663045,Towards Integrating Emerging AI Applications in SE Education,Software Engineering
10.1109/AAIAC60008.2023.10465292,Final Results: Prof Pi and GPT-4 Tutoring Mathematics in Arabic through Whatsapp,Educational Technology
10.1109/DSAA61799.2024.10722841,Human Evaluation of GPT for Scalable Python Programming Exercise Generation,Introductory Programming
10.1109/OJIES.2024.3412222,The Relevance of Large Language Models for Project Management,Artificial Intelligence Applications in Project Management
10.1109/FIE58773.2023.10343037,An Exploratory Study on the Impact of AI tools on the Student Experience in Programming Courses: an Intersectional Analysis Approach,Introductory Programming
10.1109/ACDSA59508.2024.10467740,Dynamic Reconfiguring of GPT-4 Based Tutors to Become GPT-4 Based Teachers in Underserved Areas in Africa and the Environs,Educational Technology
10.1109/ICEIB61477.2024.10602701,Comparative Studies: Leveraging Large Language Model In Theoritical and Practical Assessment Sample Question-Answer Bank on Programming Related Subjects,Educational Technology
10.1109/BigData62323.2024.10825505,On Text Granularity and Metric Frameworks for Large Language Model Content Detection,Natural Language Processing
10.1109/FIE61694.2024.10893501,WIP: Engineering Class Students' Epistemic Cognition when Interacting with Generative AI,Human-Computer Interaction
10.1109/FIE58773.2023.10343457,Exploring the Potential of Large Language Models to Generate Formative Programming Feedback,Introductory Programming
10.1109/EDUCON60312.2024.10578596,Beyond the Hype: Perceptions and Realities of Using Large Language Models in Computer Science Education at an R1 University,Computer Science Education
10.1109/IST64061.2024.10843532,Evaluating LLM-Generated Persian Questions for Teaching Conditional Programming Using Bloom’s Taxonomy,Introductory Programming
10.1109/ISEC61299.2024.10664825,The Penetration of Generative AI in Higher Education: A Survey,Educational Technology
10.1109/FIE58773.2023.10343215,Developing Higher Education – Post-Pandemic – Influenced by AI,Educational Technology in Computer Science
10.1109/COMPSAC57700.2023.00117,Investigating Code Generation Performance of ChatGPT with Crowdsourcing Social Data,Software Engineering
10.1109/FIE61694.2024.10893102,Explore Public's Perspectives on Generative AI in Computer Science (CS) Education: A Social Media Data Analysis,Artificial Intelligence in Education
10.1109/FIE61694.2024.10893046,Integrating Conversational Large Language Models into Student Learning: A Case Study of ChatGPT in Software Engineering Education,Software Engineering
10.1109/CI-NLPSoMeCompanion65206.2025.10977933,Assessing Personalized AI Mentoring with Large Language Models in the Computing Field,Artificial Intelligence
10.1109/ISAS60782.2023.10391549,Assessing the Impact of ChatGPT in a PHP Programming Course,Web Development
10.1109/ICTBIG64922.2024.10911129,DIP AI-Driven Architecture for Enhanced Project Management Using Large Language Models,Software Engineering
10.1109/ACCESS.2024.3443621,Navigating the Pitfalls: Analyzing the Behavior of LLMs as a Coding Assistant for Computer Science Students—A Systematic Review of the Literature,Computing Education
10.1109/ICEIT64364.2025.10976127,Enhancing Teaching Quality Through LLM: An Experimental Study on Prompt Engineering,Educational Technology
10.1109/FIE61694.2024.10892858,Incorporating AI in the Teaching of Requirements Tracing Within Software Engineering,Software Engineering
10.1145/3639474.3640076,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,Introductory Programming
10.1109/IDAP64064.2024.10710677,The Language Model Revolution: LLM and SLM Analysis,Natural Language Processing
10.1109/TSE.2025.3572094,Cross-Level Requirements Tracing Based on Large Language Models,Software Engineering
10.1109/CSEET58097.2023.00030,Investigating the Use of AI-Generated Exercises for Beginner and Intermediate Programming Courses: A ChatGPT Case Study,Introductory Programming
10.1109/FIE61694.2024.10893585,Teachers' Development of Competence in Managing Generative AI Technology: Findings from a Qualitative Interview Series,Educational Technology
10.1109/CSCE60160.2023.00173,ChatGPT as a Game-Changer for Embedding Emojis in Faculty Feedback,Human-Computer Interaction
10.1109/ISEC61299.2024.10665141,Optimizing Large Language Models for Auto-Generation of Programming Quizzes,Object-oriented Programming
10.1109/TALE56641.2023.10398297,Explicitly Introducing ChatGPT into First-year Programming Practice: Challenges and Impact,Introductory Programming
10.1109/ACCESS.2025.3576329,AutoTA: A Dynamic Intent-Based Virtual Teaching Assistant for Students Using Open Source LLMs,Educational Technology
10.1109/ITHET61869.2024.10837667,Enhancing Short Answer Grading with OpenAI APIs,Natural Language Processing
10.1109/ICCT-Pacific63901.2025.11012850,Athena: A GenAI-Powered Programming Tutor Based on Open-Source LLM,Introductory Programming
10.1109/ITHET61869.2024.10837650,Exploring Students' Perception and Experience with ChatGPT and Critical Thinking in a Higher Education Context,Educational Technology
10.1109/TLT.2024.3499751,A High-Quality Generation Approach for Educational Programming Projects Using LLM,Introductory Programming
10.1109/FIE61694.2024.10893211,LLM-Enhanced Learning Environments for CS: Exploring Data Structures and Algorithms with Gurukul,Algorithms and Data Structures
10.1109/ITHET61869.2024.10837649,The Impact of ChatGPT on Student Learning Experience in Higher STEM Education: A Systematic Literature Review,Educational Technology
10.1109/FIE61694.2024.10893442,How Novice Programmers Use and Experience ChatGPT when Solving Programming Exercises in an Introductory Course,Introductory Programming
10.1109/EDUCON62633.2025.11016577,I-LEAD: A Digital-Intelligence-Powered Ecosystem for Innovation and Entrepreneurship Education,Educational Technology
10.1109/CSEET62301.2024.10663055,Leveraging Open Source LLMs for Software Engineering Education and Training,Software Engineering
10.1109/FIE61694.2024.10893118,A PBL-Based Mini Course Module for Teaching Computer Science Students to Utilize Generative AI for Enhanced Learning,Artificial Intelligence
10.1109/ITCEM65710.2024.00050,Research on the Effectiveness of Human-Machine Collaborative Teaching Based on Data Analysis in the Era of Digital Intelligence,Software Engineering
10.1109/TKDE.2022.3233046,ExamGAN and Twin-ExamGAN for Exam Script Generation,Educational Technology
10.1109/ICSTW64639.2025.10962520,Evaluating Large Language Model Robustness using Combinatorial Testing,Machine Learning
10.1109/TVCG.2024.3456363,StuGPTViz: A Visual Analytics Approach to Understand Student-ChatGPT Interactions,Data Visualization
10.1109/ACCESS.2025.3554627,A Bibliometric Exposition and Review on Leveraging LLMs for Programming Education,Introductory Programming
10.1109/TE.2024.3467912,An LLM-Driven Chatbot in Higher Education for Databases and Information Systems,Human-Computer Interaction
10.1109/FIE61694.2024.10893499,ChatGPT vs. Gemini: Comparative Evaluation in Cybersecurity Education with Prompt Engineering Impact,Computer Security
10.1109/QRS60937.2023.00028,On ChatGPT: Perspectives from Software Engineering Students,Software Engineering
10.1109/CSEET62301.2024.10663054,Navigating the AI Frontier: A Critical Literature Review on Integrating Artificial Intelligence into Software Engineering Education,Software Engineering
10.1109/ICSA59870.2024.00016,Can LLMs Generate Architectural Design Decisions? - An Exploratory Empirical Study,Software Engineering
10.1109/SoutheastCon52093.2024.10500042,Transformative Potentials and Ethical Considerations of AI Tools in Higher Education: Case Studies and Reflections,Artificial Intelligence in Education
10.1109/ACCESS.2023.3268224,Exploring Students’ Perceptions of ChatGPT: Thematic Analysis and Follow-Up Survey,Human-Computer Interaction
10.1109/ACCESS.2024.3360863,Data Augmentation and Preparation Process of PerInfEx: A Persian Chatbot With the Ability of Information Extraction,Natural Language Processing
10.1109/APSEC65559.2024.00069,Pair Programming in Programming Courses in the Era of Generative AI: Students' Perspective,Introductory Programming
10.1109/TE.2024.3394060,Developing Future Computational Thinking in Foundational CS Education: A Case Study From a Liberal Education University in India,Introductory Programming
10.1109/FIE61694.2024.10893333,Use of Generative Artificial Intelligence in the Education of Software Verification and Validation,Software Engineering
10.1109/IATMSI60426.2024.10502959,Ikigai: Artificial Intelligence-Based Virtual Desktop Assistant,Human-Computer Interaction
10.1109/ACCESS.2024.3397775,"Advancements in Generative AI: A Comprehensive Review of GANs, GPT, Autoencoders, Diffusion Model, and Transformers",Machine Learning
10.1109/EDUCON60312.2024.10578917,ChatGPT Has Eaten My Assignment: A Student-Centric Experiment on Supervising Writing Processes in the AI Era,Educational Technology
10.1109/FIE61694.2024.10893139,Work-in-Progress: Course-based Undergraduate Research Experience (CURE) with Generative AI in a Computer Science Course,Machine Learning
10.1109/FIE58773.2023.10343474,Leveraging the Power of AI in Undergraduate Computer Science Education: Opportunities and Challenges,Computer Science Education
10.1109/ICEED62316.2024.10923833,Code Debugging with LLM-Generated Explanations of Programming Error Messages,Introductory Programming
10.1109/MPRV.2023.3346548,Integrating Generative Artificial Intelligence to a Project-Based Tangible Interaction Course,Human-Computer Interaction
10.1109/CCET62233.2024.10838104,Assessment of Machine Translation in Addressing Communication Barriers on the Perception of College Students,Natural Language Processing
10.1109/ICAISC64594.2025.10959426,Generative AI in Computer Science Education: Insights from Topic Modeling and Text Network Analysis,Artificial Intelligence in Education
10.1109/FIE58773.2023.10342963,Affective Computing: A Topic-Based SER Approach on Collaborative Discussions in Academic Setting,Human-Computer Interaction
10.1109/TLT.2025.3537618,Transforming Education With Generative AI (GAI): Key Insights and Future Prospects,Human-Computer Interaction
10.1109/CIEES62939.2024.10811132,Leveraging AI for CTF Challenge Optimization,Computer Security
10.1109/CSCI62032.2023.00268,Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies,Academic Integrity in Computer Science Education
10.1109/EDUCON62633.2025.11016417,The Impact of Chatbots on Students' Reflective Thinking in Introductory Programming Course,Introductory Programming
10.1109/LAD62341.2024.10691721,LLM-aided explanations of EDA synthesis errors,Digital Design and Computer Architecture
10.1109/FIE61694.2024.10892995,WIP: Generative AI as an Instructional Resource in a Computer Science Ethics Course,Computer Science Ethics
10.1109/ACCESS.2024.3420709,MCQGen: A Large Language Model-Driven MCQ Generator for Personalized Learning,Educational Technology
10.1109/FIE61694.2024.10892891,"Generative AI in Education: A Study of Educators' Awareness, Sentiments, and Influencing Factors",Educational Technology
10.1109/EDUCON62633.2025.11016317,Enhancing Computational Thinking and Problemsolving in Programming Education Through Generative AI: A Scoped Review,Introductory Programming
10.1109/ICIMCIS60089.2023.10349057,"A Glimpse of chatGPT: An Introduction of Features, Challenges, and Threads in Higher Education",Educational Technology
10.1109/ACCESS.2025.3568171,Improving Student Learning Outcome Tracing at HBCUs Using Tabular Generative AI and Deep Knowledge Tracing,Educational Data Mining
10.1109/CSEET62301.2024.10663028,Cultivating Software Quality Improvement in the Classroom: An Experience with ChatGPT,Software Engineering
10.23919/SoftCOM62040.2024.10722016,Supporting Academic Teaching with Integrating AI in Learning Management Systems: Introducing a Toolchain for Students and Lecturers,Educational Technology
10.1109/CEI60616.2023.10527886,The Potential of Large Language Models as Tools for Analyzing Student Textual Evaluation: A Differential Analysis Between CS and Non-CS Students,Natural Language Processing
10.1109/EDUCON62633.2025.11016446,Generative AI for Education: A Retrieval-Augmented System for Effective Feedback in Self-Assessment,Educational Technology
10.1109/EDUCON62633.2025.11016298,Stimulating Critical Thinking in a Web Programming Module with Generative AI Tools,Web Development
10.1109/EDUCON62633.2025.11016571,Exploring the Role of Large Language Models as Artificial Tutors,Introductory Programming
10.1109/VL-HCC57772.2023.00018,"Exploring the Role of AI Assistants in Computer Science Education: Methods, Implications, and Instructor Perspectives",Computer Science Education
10.1109/ICCEBS58601.2023.10448947,Advancing Digital Transformation in Indian Higher Education Institutions,Educational Technology
10.1109/RE57278.2023.00045,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,Software Engineering
10.1109/CANDO-EPE65072.2024.10772819,The Emergence of Artificial Intelligence in Education and its Impact on Individual Literacy in Higher Education,Educational Technology
10.1109/FiCloud62933.2024.00024,Hybrid Platforms for IoT in the Classroom – A Competency Analysis and Performance Evaluation,Internet of Things (IoT)
10.1109/MILCOM61039.2024.10773849,5G Specifications Formal Verification with Over-the-Air Validation: Prompting is All You Need,Computer Networks
10.1109/EDUCON60312.2024.10578646,AI-Based Research Companion (ARC): An Innovative Tool for Fostering Research Activities in Undergraduate Engineering Education,Educational Technology
10.1109/APSIPAASC58517.2023.10317226,Revolutionizing Formative Assessment in STEM Fields: Leveraging AI and NLP Techniques,Educational Technology
10.1109/CSCE60160.2023.00189,Plagiarism in Entry-Level Computer Science Courses Using ChatGPT,Introductory Programming
10.1109/EDUCON54358.2023.10125121,Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,Educational Technology in Computer Science
10.1109/EDUCON62633.2025.11016616,Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,Software Engineering
10.1109/InCIT63192.2024.10810629,The Efficiency of ChatGPT Vs Google Against Self-Learning of Undergraduate Students,Educational Technology
10.1109/CIEES62939.2024.10811263,Using Large Language Models for Students’ Essays Plagiarism Detection,Natural Language Processing
10.1109/ICMMT61774.2024.10672225,ChatGPT as an Artificial Intelligence (AI) Tool for Assisting Undergraduate Talent Cultivation Program in Major of Microelectronic Science and Engineering,Educational Technology in Engineering
10.1109/FLLM63129.2024.10852455,A Systematic Study on the Potentials and Limitations of LLM-assisted Software Development,Software Engineering
10.1109/ICAECT60202.2024.10469472,Empirical Evaluation of Large Language Models in Resume Classification,Natural Language Processing
10.1109/LA-CCI62337.2024.10814750,Twisted Games: A First Experience of Inclusion of AI tools in First Year Programming Classes,Introductory Programming
10.1109/EDUCON62633.2025.11016469,"Generative AI as a Catalyst for Transforming Transnational Engineering Education: Opportunities, Challenges, and Future Directions",Artificial Intelligence in Education
10.1109/ISMAR62088.2024.00026,DataliVR: Transformation of Data Literacy Education through Virtual Reality with ChatGPT-Powered Enhancements,Human-Computer Interaction
10.1109/EDUCON60312.2024.10578883,AI Asyet Another Tool in Undergraduate Student Projects: Preliminary Results,Human-Computer Interaction
10.1109/EDUCON62633.2025.11016382,GenAI-Empowered Group-Based Authentic Assessment for Network Engineering Courses,Computer Networks
10.1109/EDUCON62633.2025.11016572,The Responsible Development of Automated Student Feedback with Generative AI,Artificial Intelligence Ethics
10.1109/ISEC61299.2024.10665196,Assessing the Impact of Professional Development on K-12 CS Education: A One-Year Follow-Up Survey Analysis,Computer Science Education
10.1109/TALE62452.2024.10834357,Revealing Vocational Training on Achieving UN’s Sustainable Development Goals: Analysis Through Machine Learning,Machine Learning
