doi,title,relevance,category,explanation
10.1145/3626252.3630789,Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science,RELEVANT,lower-computing,[Foundations of Programming (COMP202)]
10.1145/3649217.3653554,Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?,RELEVANT,lower-computing,[CS1 course]
10.1145/3639474.3640061,AI-Tutoring in Software Engineering Education,RELEVANT,upper-computing,[Software Engineering]
10.1145/3649217.3653543,Iris: An AI-Driven Virtual Tutor for Computer Science Education,RELEVANT,upper-computing,"[not specified, but context suggests advanced programming exercises]"
10.1145/3626252.3630803,ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,RELEVANT,lower-computing,[undergraduate computer science]
10.1145/3626253.3635511,My Learnings from Allowing Large Language Models in Introductory Computer Science Classes,RELEVANT,lower-computing,[introductory computer science courses]
10.1145/3649409.3691090,From GPT to BERT: Benchmarking Large Language Models for Automated Quiz Generation,RELEVANT,lower-computing,[Java and Python programming courses]
10.1145/3626253.3635427,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,RELEVANT,lower-computing,[CS50]
10.1145/3626252.3630938,Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,RELEVANT,lower-computing,[CS50]
10.1145/3657604.3662036,Evaluating the Effectiveness of LLMs in Introductory Computer Science Education: A Semester-Long Field Study,RELEVANT,lower-computing,[introductory computer science education]
10.1145/3616961.3616974,"""\""Call me Kiran\"" – ChatGPT as a Tutoring Chatbot in a Computer Science Course""",RELEVANT,,[computer science course]
10.1145/3649217.3653594,Feedback-Generation for Programming Exercises With GPT-4,RELEVANT,lower-computing,[introductory programming course]
10.1145/3689535.3689554,Not the Silver Bullet: LLM-enhanced Programming Error Messages are Ineffective in Practice,RELEVANT,lower-computing,[CS1 and CS2 problems]
10.1145/3657604.3664701,ChatGPT's Performance on Problem Sets in an At-Scale Introductory Computer Science Course,RELEVANT,lower-computing,[introductory computer science course]
10.1145/3626252.3630960,"Using GPT-4 to Provide Tiered, Formative Code Feedback",RELEVANT,upper-computing,[Algorithms and Data Structures class]
10.1145/3657604.3662040,Combining LLM-Generated and Test-Based Feedback in a MOOC for Programming,RELEVANT,,[programming course]
10.1145/3626253.3635543,CAET: Code Analysis and Education Tutor,RELEVANT,lower-computing,[introductory computer science course]
10.1145/3639474.3640058,Let's Ask AI About Their Programs: Exploring ChatGPT's Answers To Program Comprehension Questions,RELEVANT,lower-computing,[introductory programming context]
10.1145/3568812.3603476,"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",RELEVANT,lower-computing,[introductory Python programming problems]
10.1145/3643795.3648389,Tackling Students' Coding Assignments with LLMs,RELEVANT,lower-computing,[introductory programming course]
10.1145/3636243.3636245,Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models,RELEVANT,lower-computing,[introductory computing]
10.1145/3626252.3630897,Need a Programming Exercise Generated in Your Native Language? ChatGPT's Got Your Back: Automatic Generation of Non-English Programming Exercises Using OpenAI GPT-3.5,RELEVANT,lower-computing,[introductory programming]
10.1145/3639474.3640076,Does ChatGPT Help With Introductory Programming?An Experiment of Students Using ChatGPT in CS1,RELEVANT,lower-computing,[CS1]
10.1145/3568813.3600139,Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests,RELEVANT,lower-computing,[introductory programming]
10.1145/3649405.3659504,Analyzing Students' Preferences for LLM-Generated Analogies,RELEVANT,lower-computing,[introductory computing concepts]
10.1145/3632620.3671103,Evaluating Contextually Personalized Programming Exercises Created with Generative AI,RELEVANT,lower-computing,[introductory programming]
10.1145/3626252.3630937,"Teaching AI to K-12 Learners: Lessons, Issues, and Guidance",NOT_RELEVANT,,[N/A]
10.1145/3626253.3635542,"Evaluating Large Language Model Code Generation as an Autograding Mechanism for ""Explain in Plain English"" Questions",RELEVANT,lower-computing,[introductory programming]
10.1145/3587102.3588852,Investigating the Potential of GPT-3 in Providing Feedback for Programming Assessments,RELEVANT,lower-computing,[undergraduate Python programming]
10.1145/3626253.3635404,The Future of the Error Message: Comparing Large Language Models and Novice Programmer Effectiveness in Fixing Errors,RELEVANT,lower-computing,[introductory programming]
10.1145/3657604.3664665,Propagating Large Language Models Programming Feedback,NOT_RELEVANT,,[N/A]
10.1145/3649217.3653568,Automating Personalized Parsons Problems with Customized Contexts and Concepts,RELEVANT,lower-computing,[introductory programming]
