doi,title,relevance,category,explanation
10.1145/3626253.3633431,Ninth SPLICE Workshop on Technology and Data Infrastructure for CS Education Research,NOT_RELEVANT,,[N/A]
10.1145/3649409.3691074,Ethical Implications of Gen-AI and LLMs in Computing Education,NOT_RELEVANT,,[N/A]
10.1145/3649217.3653570,Customizing ChatGPT to Help Computer Science Principles Students Learn Through Conversation,RELEVANT,lower-computing,[Advanced Placement Computer Science Principles (CSP)]
10.1145/3660650.3660668,Experience Report: Adopting AI-Usage Policy in Software Engineering Education,RELEVANT,upper-computing,[Software Engineering]
10.1145/3686852.3686864,Faculty Perspectives on the Potential of RAG in Computer Science Higher Education,RELEVANT,upper-computing,[undergraduate and graduate computer science courses]
10.1145/3587102.3588773,Chat Overflow: Artificially Intelligent Models for Computing Education - renAIssance or apocAIypse?,RELEVANT,lower-computing,[introductory and advanced computing courses]
10.1145/3661167.3661269,The Role of Software Measurement in Assured LLM-Based Software Engineering,NOT_RELEVANT,,[N/A]
10.1145/3663530.3665020,A Pilot Study in Surveying Data Challenges of Automatic Software Engineering Tasks,NOT_RELEVANT,,[N/A]
10.1145/3597503.3639201,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,RELEVANT,upper-computing,[Software Engineering]
10.1145/3664646.3664765,A Comparative Analysis of Large Language Models for Code Documentation Generation,NOT_RELEVANT,,[N/A]
10.1145/3641237.3691673,Seeing How the Sausage is Made: Data Storytelling as Means and Method in a Computer Science Writing Course,NOT_RELEVANT,,[N/A]
10.1145/3649165.3690101,Experiences from Integrating Large Language Model Chatbots into the Classroom,RELEVANT,upper-computing,[Software Engineering with LLMs]
10.1145/3626253.3635403,Mining Students' Mastery Levels from CS Placement Tests via LLMs,RELEVANT,lower-computing,"[introductory Computer Science courses (CS0, CS1, CS2)]"
10.1145/3626253.3635380,"Mentoring, AI, and the End of Affirmative Action: Connecting with SIGCSE Reads",NOT_RELEVANT,,[N/A]
10.1145/3699538.3699581,Fine-Tuning Large Language Models for Better Programming Error Explanations,RELEVANT,upper-computing,[university programming courses]
10.1145/3626253.3635601,An LLM-based Reflection Analysis Tool for Identifying and Addressing Challenging Topics,RELEVANT,,[N/A]
10.1145/3615886.3627745,Towards Understanding the Geospatial Skills of ChatGPT: Taking a Geographic Information Systems (GIS) Exam,NOT_RELEVANT,,[N/A]
10.1145/3643991.3644926,Whodunit: Classifying Code as Human Authored or GPT-4 Generated - A case study on CodeChef problems,NOT_RELEVANT,,[N/A]
10.1145/3626253.3635624,Enhancing Code Tracing Question Generation with Refined Prompts in Large Language Models,RELEVANT,,[N/A]
10.1145/3649217.3653612,Open Source Language Models Can Provide Feedback: Evaluating LLMs' Ability to Help Students Using GPT-4-As-A-Judge,RELEVANT,lower-computing,[introductory programming course]
10.1145/3644815.3644969,Innovating Translation: Lessons Learned from BWX Generative Language Engine,NOT_RELEVANT,,[N/A]
10.1145/3691620.3695537,Enhancing Automated Program Repair with Solution Design,NOT_RELEVANT,,[N/A]
10.1145/3689535.3689546,LLM-aided Pair Programming for Algorithm Tracing,RELEVANT,lower-computing,[algorithm tracing]
10.1145/3661167.3661202,Assessing healthcare software built using IoT and LLM technologies,NOT_RELEVANT,,[N/A]
10.1145/3617650.3624947,"ChatGPT Didn't Take Me Very Far, Did It?",RELEVANT,,[N/A]
10.1145/3649409.3691092,LLM-based Individual Contribution Summarization in Software Projects,RELEVANT,upper-computing,[software projects]
10.1145/3634737.3659433,POSTER: Identifying and Mitigating Vulnerabilities in LLM-Integrated Applications,NOT_RELEVANT,,[N/A]
10.1145/3660650.3660656,"Faceless Adversary, Feckless Colleague: The Many Sides of ChatGPT",RELEVANT,lower-computing,[CS1 and CS2]
10.1145/3626253.3635400,A Comparative Study of Few-Shot vs. Zero-Shot Prompting to Generate Quick and Useful Responses to Students' Periodic Reflections,RELEVANT,,[N/A]
10.1145/3691555.3696825,Test Large Language Models on Driving Theory Knowledge and Skills for Connected Autonomous Vehicles,NOT_RELEVANT,,[N/A]
10.1145/3551349.3559555,Few-shot training LLMs for project-specific code-summarization,NOT_RELEVANT,,[N/A]
10.1145/3636555.3636889,Code Soliloquies for Accurate Calculations in Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3639477.3639720,Assessing LLMs for High Stakes Applications,NOT_RELEVANT,,[N/A]
10.1145/3633598.3633614,An Analysis of Large Language Models and LangChain in Mathematics Education,NOT_RELEVANT,,[N/A]
10.1145/3699538.3699588,Towards the Integration of Large Language Models and Automatic Assessment Tools: Enhancing Student Support in Programming Assignments,RELEVANT,lower-computing,[programming assignments]
10.1145/3691620.3695349,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,NOT_RELEVANT,,[N/A]
10.1145/3643787.3648033,Towards LLM-Generated Code Tours for Onboarding,RELEVANT,upper-computing,[software project onboarding]
10.1145/3648188.3680252,Exercises in unimaginativeness. Case study of GPT based translation and travesty of Alfred Jarry's “Ubu King”,NOT_RELEVANT,,[N/A]
10.1145/3643795.3648393,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,RELEVANT,upper-computing,[software design]
10.1145/3631700.3665233,Multiple-Choice Question Generation Using Large Language Models: Methodology and Educator Insights,RELEVANT,,[N/A]
10.1145/3671016.3674823,LLM-Enhanced Theorem Proving with Term Explanation and Tactic Parameter Repair✱,UNKNOWN,,No response found
10.1145/3632621.3671415,Teens' Ethical Sensemaking About Emerging Technologies,UNKNOWN,,No response found
10.1145/3649217.3653582,"Code Generation Based Grading: Evaluating an Auto-grading Mechanism for ""Explain-in-Plain-English"" Questions",UNKNOWN,,No response found
10.1145/3639474.3640084,Automated Detection of AI-Obfuscated Plagiarism in Modeling Assignments,UNKNOWN,,No response found
10.1145/3568812.3603482,Using Large Language Models to Automatically Identify Programming Concepts in Code Snippets,UNKNOWN,,No response found
10.1145/3653666.3656065,"""I'm Sorry, but I Can't Assist"": Bias in Generative AI",UNKNOWN,,No response found
10.1145/3626253.3635524,Using Notional Machines to Automatically Assess Students' Comprehension of Their Own Code,UNKNOWN,,No response found
10.1145/3587103.3594202,Classifying Course Discussion Board Questions using LLMs,UNKNOWN,,No response found
10.1145/3709364,Evaluating Language Models for Assessing Counselor Reflections,UNKNOWN,,No response found
10.1145/3626253.3633407,Innovative Strategies for genAI in CS Courses,UNKNOWN,,No response found
10.1145/3631802.3631816,Explorotron: An IDE Extension for Guided and Independent Code Exploration and Learning (Discussion Paper),UNKNOWN,,No response found
10.1145/3640544.3645215,Human-AI Collaboration in a Student Discussion Forum,UNKNOWN,,No response found
10.1145/3639475.3640097,Greening Large Language Models of Code,UNKNOWN,,No response found
10.1145/3689535.3689543,Exploring Computing Teachers' Readiness to Teach AI in Secondary Schools,UNKNOWN,,No response found
10.1145/3617650.3624950,Teaching Students To Use Programming Error Messages,UNKNOWN,,No response found
10.1145/3677525.3678665,Towards Modeling and Evaluating Instructional Explanations in Teacher-Student Dialogues,UNKNOWN,,No response found
10.1145/3657604.3662033,Simulating Climate Change Discussion with Large Language Models: Considerations for Science Communication at Scale,UNKNOWN,,No response found
10.1145/3626203.3670628,Improving an NSF ACCESS Program AI Chatbot: Response Data Logistic Regression,UNKNOWN,,No response found
10.1145/3699538.3699569,Sieving Coding Assignments Over Submissions Generated by AI and Novice Programmers,UNKNOWN,,No response found
10.1145/3613904.3642947,ClassMeta: Designing Interactive Virtual Classmate to Promote VR Classroom Participation,UNKNOWN,,No response found
10.1145/3643916.3644435,Reassessing Java Code Readability Models with a Human-Centered Approach,NOT_RELEVANT,upper-computing,[Java Code Readability Models]
10.1145/3649217.3653624,Student Perspectives on Using a Large Language Model (LLM) for an Assignment on Professional Ethics,RELEVANT,upper-computing,[Professional Ethics]
10.1145/3597503.3639223,Uncovering the Causes of Emotions in Software Developer Communication Using Zero-shot LLMs,NOT_RELEVANT,upper-computing,[Software Developer Communication]
10.1145/3689904.3694699,The Silicon Ceiling: Auditing GPT’s Race and Gender Biases in Hiring,NOT_RELEVANT,upper-computing,[Race and Gender Biases in Hiring]
10.1145/3626252.3630842,Trust in Generative AI among Students: An exploratory study,RELEVANT,,[CS courses]
10.1145/3649165.3690111,Generative AI in Introductory Programming Instruction: Examining the Assistance Dilemma with LLM-Based Code Generators,RELEVANT,lower-computing,[Introductory Programming]
10.1145/3673238,The Social Cognition Ability Evaluation of LLMs: A Dynamic Gamified Assessment and Hierarchical Social Learning Measurement Approach,NOT_RELEVANT,,[Social Cognition Ability Evaluation]
10.1145/3649165.3690100,Synthetic Students: A Comparative Study of Bug Distribution Between Large Language Models and Computing Students,NOT_RELEVANT,,[Bug Distribution Study]
10.1145/3631802.3631845,Could ChatGPT Be Used for Reviewing Learnersourced Exercises?,NOT_RELEVANT,,[Learnersourced Exercises Review]
10.1145/3643795.3648375,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments,RELEVANT,upper-computing,[Parallel Functional Programming]
10.1145/3626252.3630951,Towards Comprehensive Metrics for Programming Cheat Detection,NOT_RELEVANT,,[Programming Cheat Detection]
10.1145/3691620.3695508,iSMELL: Assembling LLMs with Expert Toolsets for Code Smell Detection and Refactoring,NOT_RELEVANT,,[Code Smell Detection and Refactoring]
10.1145/3649409.3691089,Leveraging Large Language Models for Automated Assessment of Elementary Students' Block-Based Narrative Programs,NOT_RELEVANT,lower-computing,Based Narrative Programs]
