doi,title,relevance,category,explanation
10.1145/3649409.3691094,CourseAssist: Pedagogically Appropriate AI Tutor for Computer Science Education,RELEVANT,upper-computing,[programming languages course]
10.1145/3688089,"Ethics, Governance, and User Mental Models for Large Language Models in Computing Education",NOT_RELEVANT,,[N/A]
10.1145/3626253.3633409,Generative AI in Computer Science Education,RELEVANT,,[N/A]
10.1145/3626253.3631657,AI in Computing Education from Research to Practice,RELEVANT,lower-computing,[introductory CS classrooms]
10.1145/3626253.3635369,Discussing the Changing Landscape of Generative AI in Computing Education,RELEVANT,,[N/A]
10.1145/3660650.3660657,Generative AI in CS Education: Literature Review through a SWOT Lens,RELEVANT,,[N/A]
10.1145/3636243.3636257,"“It's not like Jarvis, but it's pretty close!” - Examining ChatGPT's Usage among Undergraduate Students in Computer Science",RELEVANT,,[N/A]
10.1145/3623762.3633499,The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,RELEVANT,,[N/A]
10.1145/3674149,Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam,RELEVANT,upper-computing,[Bachelor in Computer Science exam]
10.1145/3649217.3653575,Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023,RELEVANT,,[N/A]
10.1145/3568812.3603453,Prompt Engineering for Large Language Models to Support K-8 Computer Science Teachers in Creating Culturally Responsive Projects,NOT_RELEVANT,lower-computing,8 programming classes]
10.1145/3677619.3678092,Differentiated Tasks by ChatGPT for Secondary Computer Science Education: Useful or not?,NOT_RELEVANT,lower-computing,12 CS education]
10.1145/3605468.3605471,AI Education in German K-10 Computer Science Curricula,NOT_RELEVANT,lower-computing,10 CS education]
10.1145/3660788,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,NOT_RELEVANT,upper-computing,[software engineering]
10.1145/3624720,Computing Education in the Era of Generative AI,NOT_RELEVANT,,[not specified]
10.1145/3610969.3610982,No More Pencils No More Books: Capabilities of Generative AI on Irish and UK Computer Science School Leaving Examinations,NOT_RELEVANT,lower-computing,school CS examinations]
10.1145/3613944.3613946,ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,RELEVANT,upper-computing,[Data Structures and Algorithms]
10.1145/3587103.3594206,Transformed by Transformers: Navigating the AI Coding Revolution for Computing Education: An ITiCSE Working Group Conducted by Humans,NOT_RELEVANT,,[not specified]
10.1145/3633287,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,RELEVANT,lower-computing,[introductory module CS1]
10.1145/3649409.3691086,Understanding Algorithmic Problem Solving using LLMs,RELEVANT,upper-computing,[Algorithms]
10.1145/3632620.3671097,"Using Benchmarking Infrastructure to Evaluate LLM Performance on CS Concept Inventories: Challenges, Opportunities, and Critiques",RELEVANT,lower-computing,[introductory computing]
10.1145/3593663.3593695,Experiences with Remote Examination Formats in Light of GPT-4,RELEVANT,upper-computing,[Software Engineering]
10.1145/3568812.3603474,Evaluating ChatGPT and GPT-4 for Visual Programming,RELEVANT,lower-computing,8 programming education]
10.1145/3545947.3569630,Automatically Generating CS Learning Materials with Large Language Models,RELEVANT,,[not specified]
10.1145/3636555.3636846,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,RELEVANT,lower-computing,[introductory programming]
10.1145/3568813.3600142,Thrilled by Your Progress! Large Language Models (GPT-4) No Longer Struggle to Pass Assessments in Higher Education Programming Courses,RELEVANT,lower-computing,[introductory and intermediate Python programming]
10.1145/3632620.3671112,An Investigation of the Drivers of Novice Programmers' Intentions to Use Web Search and GenAI,RELEVANT,lower-computing,[introductory course]
10.1145/3626253.3633436,Using Large Language Models for Teaching Computing,RELEVANT,lower-computing,[introductory programming]
10.1145/3501709.3544280,Generating Diverse Code Explanations using the GPT-3 Large Language Model,RELEVANT,lower-computing,[introductory programming]
10.1145/3639474.3640068,Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,RELEVANT,,[not specified]
10.1145/3657604.3664697,Using Large Language Models To Diagnose Math Problem-solving Skills At Scale,NOT_RELEVANT,,[N/A]
10.1145/3649165.3690099,Examining the Relationship between Socioeconomic Status and Beliefs about Large Language Models in an Undergraduate Programming Course,RELEVANT,lower-computing,[undergraduate programming course]
10.1145/3545947.3573358,The Implications of Large Language Models for CS Teachers and Students,RELEVANT,,[N/A]
10.1145/3610969.3611132,Generative AI in Software Development Education: Insights from a Degree Apprenticeship Programme,RELEVANT,upper-computing,[Software Engineering Degree Apprenticeship programme]
10.1145/3597503.3639187,Using an LLM to Help With Code Understanding,RELEVANT,,[N/A]
10.1145/3649217.3653602,Guidelines for the Evolving Role of Generative AI in Introductory Programming Based on Emerging Practice,RELEVANT,lower-computing,[Introductory Programming (CS1)]
10.1145/3699538.3699546,Students' Perceptions and Use of Generative AI Tools for Programming Across Different Computing Courses,RELEVANT,,[N/A]
10.1145/3585059.3611409,Teaching IT Software Fundamentals: Strategies and Techniques for Inclusion of Large Language Models: Strategies and Techniques for Inclusion of Large Language Models,RELEVANT,lower-computing,[IT Software Fundamentals]
10.1145/3626252.3630941,The Case for LLM Workshops,RELEVANT,,[N/A]
10.1145/3649217.3653527,Teaching Programming in the Age of Generative AI,RELEVANT,lower-computing,[CS1]
10.1145/3626252.3630784,Attitudes Towards the Use (and Misuse) of ChatGPT: A Preliminary Study,RELEVANT,,[not specified]
10.1145/3674805.3690758,Debugging with Open-Source Large Language Models: An Evaluation,NOT_RELEVANT,,[not specified]
10.1145/3626252.3630880,Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study,RELEVANT,,[not specified]
10.1145/3626252.3630881,Integrating Natural Language Processing in Middle School Science Classrooms: An Experience Report,NOT_RELEVANT,,[not specified]
10.1145/3626252.3630828,A Self-Regulated Learning Framework using Generative AI and its Application in CS Educational Intervention Design,RELEVANT,lower-computing,[introductory programming]
10.1145/3587102.3588805,Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,RELEVANT,lower-computing,[introductory programming]
10.1145/3545947.3573353,Significant Trends in CS Educational Material: Current and Future,RELEVANT,lower-computing,[introductory programming]
10.1145/3686970,TreeQuestion: Assessing Conceptual Learning Outcomes with LLM-Generated Multiple-Choice Questions,NOT_RELEVANT,,[not specified]
