DOI,Title,Predicted_Course
10.1145/3626252.3630927,Software Engineering Education Must Adapt and Evolve for an LLM Environment,Software Engineering
10.1145/3657604.3664660,Comparing Feedback from Large Language Models and Instructors: Teaching Computer Science at Scale,Algorithms and Data Structures
10.1145/3639474.3640061,AI-Tutoring in Software Engineering Education,Software Engineering
10.1145/3587102.3588815,How ChatGPT Will Change Software Engineering Education,Software Engineering
10.1145/3643795.3648379,An Empirical Study on Usage and Perceptions of LLMs in a Software Engineering Project,Software Engineering
10.1145/3597503.3639201,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,Software Engineering
10.1145/3613372.3614189,A Report on the Use of ChatGPT in Software Engineering and Systems Analysis Courses,Software Engineering
10.1145/3626252.3630854,Exploring the Impact of Generative AI for StandUp Report Recommendations in Software Capstone Project Development,Software Engineering
10.1145/3680533.3697064,An Eye for an AI: Evaluating GPT-4o's Visual Perception Skills and Geometric Reasoning Skills Using Computer Graphics Questions,Computer Graphics
10.1145/3626252.3630928,Solving Proof Block Problems Using Large Language Models,Algorithms and Data Structures
10.1145/3639474.3640052,"LLMs Still Can't Avoid Instanceof: An Investigation Into GPT-3.5, GPT-4 and Bard's Capacity to Handle Object-Oriented Programming Assignments",Object-oriented Programming
10.1145/3636243.3636256,A Comparative Study of AI-Generated (GPT-4) and Human-crafted MCQs in Programming Education,Introductory Programming
10.1145/3636243.3636263,More Than Meets the AI: Evaluating the performance of GPT-4 on Computer Graphics assessment questions,Computer Graphics
10.1145/3661167.3661273,An Empirical Study on How Large Language Models Impact Software Testing Learning,Software Engineering
10.1145/3626253.3635408,SQL Query Evaluation with Large Language Model and Abstract Syntax Trees,Databases
10.1145/3633053.3633057,Incorporating Generative AI into Software Development Education,Software Engineering
10.1145/3649165.3690116,Can ChatGPT pass a Theory of Computing Course?,Theory of Computation
10.1145/3657604.3664663,DevCoach: Supporting Students in Learning the Software Development Life Cycle at Scale with Generative Agents,Software Engineering
10.1145/3587102.3588814,GPT-3 vs Object Oriented Programming Assignments: An Experience Report,Object-oriented Programming
10.1145/3699538.3699541,Unrestricted Use of LLMs in a Software Project Course: Student Perceptions on Learning and Impact on Course Performance,Software Engineering
10.1145/3649405.3659473,Towards the Integration of Large Language Models in an Object-Oriented Programming Course,Object-oriented Programming
10.1145/3632621.3671424,Exploring Students Solutions to Concurrent and Parallel Programming Exercises – Impact of Generative AI,Concurrent and Parallel Programming
10.1145/3650212.3680328,CREF: An LLM-Based Conversational Software Repair Framework for Programming Tutors,Software Engineering
10.1145/3701625.3701687,Exploring the Use of Large Language Models in Requirements Engineering Education: An Experience Report with ChatGPT 3.5,Software Engineering
10.1145/3652620.3687784,A RAG-based Feedback Tool to Augment UML Class Diagram Learning,Software Engineering
10.1145/3687038,"Guiding Students in Using LLMs in Supported Learning Environments: Effects on Interaction Dynamics, Learner Performance, Confidence, and Trust",Educational Technology
10.1145/3649405.3659495,Fine-Tuning AI to Assist in Building Curriculum for the CIA Triad and Cyber Kill Chain,Computer Security
10.1145/3576123.3576134,My AI Wants to Know if This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,Algorithms and Data Structures
10.1145/3626252.3630874,Implications of ChatGPT for Data Science Education,Data Science Education
10.1145/3657604.3662042,Supporting Self-Reflection at Scale with Large Language Models: Insights from Randomized Field Experiments in Classrooms,Educational Technology
10.1145/3701625.3701684,Integrating ChatGPT in Project Management Education: Benefits and Challenges in the Academic Environment,Software Engineering
10.1145/3576882.3617921,Generating Programs Trivially: Student Use of Large Language Models,Human-Computer Interaction
10.1145/3545945.3569785,Experiences from Using Code Explanations Generated by Large Language Models in a Web Software Development E-Book,Web Development
10.1145/3674805.3690741,Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,Software Engineering
10.1145/3652620.3687776,Enhancing Software Modeling Learning with AI-Powered Scaffolding,Software Engineering
10.1145/3626253.3635609,Elevating Learning Experiences: Leveraging Large Language Models as Student-Facing Assistants in Discussion Forums,Educational Technology
10.1145/3691620.3695062,FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments,Software Engineering
10.1145/3663649.3664368,A Feasibility Study on Automated SQL Exercise Generation with ChatGPT-3.5,Databases
10.1109/ASE56229.2023.00217,A Comparative Study of Transformer-Based Neural Text Representation Techniques on Bug Triaging,Software Engineering
10.1145/3605507.3610629,Dual-Submission Homework in Parallel Computer Architecture: An Exploratory Study in the Age of LLMs,Parallel Computer Architecture
10.1145/3663649.3664371,Integrating LLMs into Database Systems Education,Databases
10.1145/3613905.3651043,Auto-Generated Personas: Enhancing User-centered Design Practices among University Students,Human-Computer Interaction
10.1145/3596671.3598574,Preparing Future Designers for Human-AI Collaboration in Persona Creation,Human-Computer Interaction
10.1145/3649405.3659514,LLMs in Open and Closed Book Examinations in a Final Year Applied Machine Learning Course (Early Findings),Machine Learning
10.1145/3580305.3599827,From Human Days to Machine Seconds: Automatically Answering and Generating Machine Learning Final Exams,Machine Learning
10.1145/3585059.3611431,ChatGPT for Teaching and Learning: An Experience from Data Science Education,Data Science
10.1145/3626252.3630832,"Diverging assessments: What, Why, and Experiences",Education in Computer Science
10.1145/3686852.3686887,Exploring Large Language Model-Powered Pedagogical Approaches to Cybersecurity Education,Cybersecurity Education
10.1145/3650212.3680354,Domain Adaptation for Code Model-Based Unit Test Case Generation,Software Engineering
10.1145/3658549.3658566,Research on Innovative Applications and Impacts of Using Generative AI for User Interface Design in Programming Courses,Human-Computer Interaction
10.1145/3701625.3701657,AI in Service of Software Quality: How ChatGPT and Personas Are Transforming Exploratory Testing,Software Engineering
10.1145/3650212.3680342,UniTSyn: A Large-Scale Dataset Capable of Enhancing the Prowess of Large Language Models for Program Testing,Software Engineering
10.1145/3643755,Unprecedented Code Change Automation: The Fusion of LLMs and Transformation by Example,Software Engineering
10.1145/3656650.3656676,Enhancing Interface Design with AI: An Exploratory Study on a ChatGPT-4-Based Tool for Cognitive Walkthrough Inspired Evaluations,Human-Computer Interaction
10.1145/3701625.3701681,Teaching Refactoring to Improve Code Quality with ChatGPT: An Experience Report in Undergraduate Lessons,Software Engineering
10.1145/3677045.3685439,Use of Generative AI for Fictional Field Studies in Design Courses,Human-Computer Interaction
10.1145/3615335.3623035,Evaluating ChatGPT: Generative AI in UX Design and Web Development Pedagogy,Web Development
10.1145/3656650.3656663,Responsible Design of Socio-Technical Solutions with Social Design Students: a Case Study,Human-Computer Interaction
10.1145/3641554.3701841,Enhancing Accessibility in Software Engineering Projects with Large Language Models (LLMs),Software Engineering
10.1145/3641554.3701917,Quantitative Evaluation of Using Large Language Models and Retrieval-Augmented Generation in Computer Science Education,Educational Technology in Computer Science
10.1145/3702163.3702182,A Novel Framework using Large Language Models to Automate Coursework Feedback for Computer Science modules,Educational Technology
10.1145/3641555.3705250,Simulating Requirement Elicitation: Development and Evaluation of a Persona-Based Tool,Databases
10.1145/3716640.3716654,Seeing the Forest and the Trees: Solving Visual Graph and Tree Based Data Structure Problems using Large Multimodal Models,Algorithms and Data Structures
10.1145/3641554.3701859,"Unlocking Potential with Generative AI Instruction: Investigating Mid-level Software Development Student Perceptions, Behavior, and Adoption",Software Engineering
10.1145/3702212.3702214,Learning without Limits: Analysing the Usage of Generative AI in a Summative Assessment,Software Engineering
10.1145/3723010.3723012,Generative AI in Student Software Development Projects: A User Study on Experiences and Self-Assessment,Software Engineering
10.1145/3641554.3701800,Students' Use of GitHub Copilot for Working with Large Code Bases,Software Engineering
10.1145/3641554.3701785,Understanding the Impact of Using Generative AI Tools in a Database Course,Databases
10.1145/3641554.3701940,LLM-Driven Feedback for Enhancing Conceptual Design Learning in Database Systems Courses,Databases
10.1145/3641555.3705074,Empowering Future Software Engineers: Integrating AI Tools into Advanced CS Curriculum,Software Engineering
10.1145/3716640.3716657,Analyzing LLM Usage in an Advanced Computing Class in India,Distributed Systems
10.1145/3641555.3705183,Exploring LLMs Impact on Student-Created User Stories and Acceptance Testing in Software Development,Software Engineering
10.1145/3706599.3720291,Utilizing ChatGPT in a Data Structures and Algorithms Course: A Teaching Assistant's Perspective,Algorithms and Data Structures
10.1145/3641554.3701965,Analyzing Pedagogical Quality and Efficiency of LLM Responses with TA Feedback to Live Student Questions,Educational Technology
10.1145/3641554.3701932,A Critical Approach to ChatGPT: An Experience in SQL Learning,Databases
10.1145/3641554.3701801,SENSAI: Large Language Models as Applied Cybersecurity Tutors,Computer Security
10.1145/3701716.3715199,SortingHat: Redefining Operating Systems Education with a Tailored Digital Teaching Assistant,Operating Systems
